"ProbeSet Name","HR_14.42l.CEL","p-value (HR_14.42l.CEL)","Detection (HR_14.42l.CEL)","HR_14.42f.CEL","p-value (HR_14.42f.CEL)","Detection (HR_14.42f.CEL)","HR_14.42g.CEL","p-value (HR_14.42g.CEL)","Detection (HR_14.42g.CEL)","HR_14.42h.CEL","p-value (HR_14.42h.CEL)","Detection (HR_14.42h.CEL)","HR_14.42i.CEL","p-value (HR_14.42i.CEL)","Detection (HR_14.42i.CEL)","HR_14.42j.CEL","p-value (HR_14.42j.CEL)","Detection (HR_14.42j.CEL)","HR_14.42k.CEL","p-value (HR_14.42k.CEL)","Detection (HR_14.42k.CEL)"
"hsa-miR-486-3p_st","1.731056","0.3341663","FALSE","2.368651","0.2586354","FALSE","2.316108","0.3625775","FALSE","3.762896","0.008377477","TRUE","2.209078","0.2591394","FALSE","1.598221","0.9837454","FALSE","2.601661","0.2327073","FALSE"
"hsa-miR-487a_st","1.317465","0.1012984","FALSE","1.122759","0.450806","FALSE","1.670765","0.06865631","FALSE","1.264749","0.2236336","FALSE","1.229976","0.6111678","FALSE","1.432986","0.2557389","FALSE","1.718206","0.1727294","FALSE"
"kshv-miR-K12-10a-star_st","1.788927","0.5659472","FALSE","1.10504","0.8060915","FALSE","2.217373","0.4277007","FALSE","2.590012","0.3055978","FALSE","1.603411","0.414325","FALSE","3.658545","0.1308636","FALSE","2.566009","0.1694632","FALSE"
"kshv-miR-K12-10a_st","2.251971","0.479193","FALSE","2.133387","0.5934822","FALSE","1.978759","0.822161","FALSE","2.672881","0.2017528","FALSE","2.623517","0.1434395","FALSE","2.262841","0.8711928","FALSE","2.864891","0.1302147","FALSE"
"kshv-miR-K12-10b_st","1.934377","0.7987314","FALSE","1.960861","0.8557147","FALSE","2.121247","0.8137212","FALSE","1.752173","0.8913526","FALSE","3.657826","0.1699933","FALSE","1.648553","0.99966","FALSE","2.159837","0.8619785","FALSE"
"kshv-miR-K12-11-star_st","1.236276","0.919101","FALSE","1.504125","0.4350636","FALSE","1.228179","0.8886902","FALSE","1.128601","0.872379","FALSE","1.230071","0.6449487","FALSE","0.8957921","0.9916037","FALSE","1.407834","0.895008","FALSE"
"kshv-miR-K12-11_st","1.236276","0.7296714","FALSE","1.920212","0.2917767","FALSE","1.908019","0.2036507","FALSE","1.757653","0.3661637","FALSE","1.763072","0.4180025","FALSE","2.516408","0.05684131","TRUE","1.362949","0.6597758","FALSE"
"kshv-miR-K12-1_st","1.647158","0.02784387","TRUE","1.663918","0.06060291","FALSE","1.685171","0.1630641","FALSE","2.138585","0.0144351","TRUE","1.529801","0.09563239","FALSE","1.168969","0.7763714","FALSE","1.638903","0.2117469","FALSE"
"kshv-miR-K12-1-star_st","1.5792","0.6945337","FALSE","1.469943","0.8466731","FALSE","1.651596","0.5578567","FALSE","1.610127","0.4799484","FALSE","1.294807","0.9911657","FALSE","6.207738","1.11E-06","TRUE","2.747363","0.03206916","TRUE"
"kshv-miR-K12-2_st","1.1117","0.6924864","FALSE","2.308903","0.2329014","FALSE","1.323629","0.8109087","FALSE","1.337274","0.7360854","FALSE","1.670288","0.4136102","FALSE","1.197434","0.9827937","FALSE","1.62432","0.3532094","FALSE"
